fixed_acidity,volatile_acidity,citric_acid
11.6,0.580,0.66
10.4,0.610,0.49
7.4,1.185,0.00
10.4,0.440,0.42
8.3,1.020,0.02
7.6,1.580,0.00
6.8,0.815,0.00
7.3,0.980,0.05
7.1,0.875,0.05
6.7,0.760,0.02
7.4,0.590,0.08
5.7,1.130,0.09
8.8,0.610,0.30
4.6,0.520,0.15
8.3,0.675,0.26
8.3,0.625,0.20
5.0,1.020,0.04
9.2,0.520,1.00
7.6,0.680,0.02
7.3,0.550,0.03
7.9,0.885,0.03
6.9,1.090,0.06
8.4,0.635,0.36
7.0,0.975,0.04
8.1,0.870,0.00
12.5,0.460,0.49
10.5,0.590,0.49
9.9,0.500,0.24
8.2,0.915,0.27
10.1,0.935,0.22
8.3,0.845,0.01
7.1,0.840,0.02
7.5,0.380,0.48
9.1,0.765,0.04
7.5,1.115,0.10
6.9,0.390,0.24
7.5,0.685,0.07
11.6,0.470,0.44
7.3,0.350,0.24
7.1,0.470,0.00
8.4,0.670,0.19
12.0,0.630,0.50
6.5,0.580,0.00
6.5,0.880,0.03
8.8,0.955,0.05
10.2,0.230,0.37
6.0,0.330,0.32
8.1,0.730,0.00
6.5,0.670,0.00
6.3,1.020,0.00
8.2,0.780,0.00
8.5,0.400,0.40
7.5,0.755,0.00
6.8,0.680,0.09
8.0,0.830,0.27
6.6,0.610,0.00
6.4,0.530,0.09
6.2,0.785,0.00
6.7,1.040,0.08
5.6,0.620,0.03
7.2,0.580,0.54
6.8,0.910,0.06
6.9,0.480,0.20
7.4,0.700,0.00
7.8,0.880,0.00
7.8,0.760,0.04
7.4,0.700,0.00
7.4,0.660,0.00
7.9,0.600,0.06
7.5,0.500,0.36
6.7,0.580,0.08
7.5,0.500,0.36
5.6,0.615,0.00
7.8,0.610,0.29
8.9,0.620,0.18
8.9,0.620,0.19
8.1,0.560,0.28
7.6,0.390,0.31
7.9,0.430,0.21
8.5,0.490,0.11
6.3,0.390,0.16
7.6,0.410,0.24
7.9,0.430,0.21
7.1,0.710,0.00
6.7,0.675,0.07
8.3,0.655,0.12
5.2,0.320,0.25
7.3,0.450,0.36
7.3,0.450,0.36
8.1,0.660,0.22
6.8,0.670,0.02
7.7,0.935,0.43
8.7,0.290,0.52
6.4,0.400,0.23
5.6,0.310,0.37
8.8,0.660,0.26
8.6,0.380,0.36
7.7,0.620,0.04
10.2,0.420,0.57
7.5,0.630,0.12
7.8,0.590,0.18
8.8,0.400,0.40
7.7,0.690,0.49
7.0,0.735,0.05
7.2,0.725,0.05
7.2,0.725,0.05
7.5,0.520,0.11
6.6,0.705,0.07
9.3,0.320,0.57
7.7,0.670,0.23
7.7,0.690,0.22
9.7,0.320,0.54
8.8,0.410,0.64
8.8,0.410,0.64
6.7,0.750,0.12
6.2,0.450,0.20
7.8,0.430,0.70
7.4,0.500,0.47
7.3,0.670,0.26
6.9,0.550,0.15
7.7,0.490,0.26
9.3,0.390,0.44
7.0,0.620,0.08
7.9,0.520,0.26
8.6,0.490,0.29
7.7,0.490,0.26
6.8,0.775,0.00
7.0,0.500,0.25
7.6,0.900,0.06
8.1,0.575,0.22
7.2,0.490,0.24
8.1,0.575,0.22
7.8,0.410,0.68
6.2,0.630,0.31
8.1,0.785,0.52
7.8,0.560,0.19
8.4,0.620,0.09
8.4,0.600,0.10
7.8,0.560,0.19
7.3,1.070,0.09
7.3,0.695,0.00
8.0,0.710,0.00
7.8,0.500,0.17
9.0,0.620,0.04
8.2,1.330,0.00
8.1,1.330,0.00
6.1,0.380,0.15
8.0,0.745,0.56
5.6,0.500,0.09
5.6,0.500,0.09
8.4,0.745,0.11
8.3,0.715,0.15
7.2,0.415,0.36
7.8,0.560,0.19
7.8,0.560,0.19
8.4,0.745,0.11
8.3,0.715,0.15
6.3,0.390,0.08
8.1,0.670,0.55
5.8,0.680,0.02
7.6,0.490,0.26
7.5,0.600,0.03
7.5,0.600,0.03
7.1,0.430,0.42
7.1,0.430,0.42
7.1,0.430,0.42
7.1,0.430,0.42
7.1,0.680,0.00
7.6,0.950,0.03
7.4,0.600,0.26
7.3,0.590,0.26
7.8,0.630,0.48
6.8,0.640,0.10
7.5,0.705,0.24
7.3,0.380,0.21
6.9,0.500,0.04
7.3,0.380,0.21
7.0,0.805,0.00
8.8,0.610,0.14
8.8,0.610,0.14
8.9,0.610,0.49
7.2,0.730,0.02
6.8,0.610,0.20
8.9,0.310,0.57
7.4,0.390,0.48
7.7,0.705,0.10
7.9,0.500,0.33
7.9,0.490,0.32
8.2,0.500,0.35
6.8,0.630,0.12
7.6,0.550,0.21
7.6,0.550,0.21
7.8,0.590,0.33
7.3,0.580,0.30
8.8,0.370,0.48
6.8,0.500,0.11
7.0,0.420,0.35
7.8,0.570,0.31
7.8,0.440,0.28
8.2,0.570,0.26
7.0,0.490,0.49
8.7,0.625,0.16
8.1,0.725,0.22
7.5,0.490,0.19
7.8,0.530,0.33
7.4,0.530,0.26
6.8,0.610,0.04
9.0,0.820,0.14
6.9,0.520,0.25
6.9,0.520,0.25
8.9,0.635,0.37
7.1,0.680,0.07
8.2,0.600,0.17
11.1,0.350,0.48
7.7,0.775,0.42
8.0,0.570,0.23
9.4,0.340,0.37
6.6,0.695,0.00
7.7,0.410,0.76
7.9,0.330,0.23
8.0,0.520,0.03
7.9,0.370,0.23
12.5,0.560,0.49
10.9,0.370,0.58
8.4,0.715,0.20
7.5,0.650,0.18
7.6,0.520,0.12
9.9,0.590,0.07
9.9,0.590,0.07
11.6,0.420,0.53
11.0,0.200,0.48
10.8,0.500,0.46
10.6,0.830,0.37
7.1,0.630,0.06
7.2,0.650,0.02
6.9,0.670,0.06
8.3,0.705,0.12
7.4,0.670,0.12
8.4,0.650,0.60
7.6,0.620,0.32
8.6,0.470,0.30
7.4,0.360,0.29
9.6,0.560,0.23
9.3,0.610,0.26
7.8,0.620,0.05
10.3,0.440,0.50
10.7,0.460,0.39
8.4,0.560,0.08
7.8,0.430,0.32
7.0,0.685,0.00
7.7,0.665,0.00
13.5,0.530,0.79
11.5,0.410,0.52
8.2,0.700,0.23
11.9,0.580,0.66
12.5,0.460,0.63
10.4,0.575,0.61
10.3,0.340,0.52
6.9,0.765,0.02
7.4,0.550,0.22
7.7,0.510,0.28
9.5,0.370,0.52
8.4,0.665,0.61
12.7,0.600,0.65
6.6,0.735,0.02
8.7,0.765,0.22
6.6,0.735,0.02
7.7,0.690,0.05
9.1,0.450,0.35
7.1,0.735,0.16
8.8,0.520,0.34
8.6,0.725,0.24
7.0,0.580,0.12
6.8,0.770,0.00
7.7,0.960,0.20
7.7,0.960,0.20
9.1,0.520,0.33
7.8,0.550,0.35
12.3,0.390,0.63
12.3,0.390,0.63
7.0,0.620,0.18
12.5,0.380,0.60
9.3,0.480,0.29
7.0,0.230,0.40
8.9,0.590,0.39
9.2,0.630,0.21
8.3,0.615,0.22
11.0,0.260,0.68
8.1,0.660,0.70
10.0,0.290,0.40
8.7,0.820,0.02
13.0,0.320,0.65
9.9,0.350,0.55
9.6,0.680,0.24
9.3,0.270,0.41
9.6,0.680,0.24
10.6,0.280,0.39
10.6,0.360,0.59
10.6,0.360,0.60
10.2,0.670,0.39
10.2,0.670,0.39
7.2,0.340,0.32
12.4,0.420,0.49
8.5,0.655,0.49
7.3,0.365,0.49
7.6,0.410,0.49
8.2,0.390,0.49
9.3,0.400,0.49
9.2,0.430,0.49
10.4,0.640,0.24
7.3,0.365,0.49
9.9,0.630,0.24
11.9,0.380,0.49
11.9,0.380,0.49
9.9,0.630,0.24
11.2,0.500,0.74
9.2,0.590,0.24
9.3,0.715,0.24
9.1,0.470,0.49
5.0,1.040,0.24
15.5,0.645,0.49
15.5,0.645,0.49
15.6,0.645,0.49
12.7,0.600,0.49
9.0,0.440,0.49
9.0,0.540,0.49
12.7,0.600,0.49
10.2,0.240,0.49
8.8,0.440,0.49
8.8,0.470,0.49
12.3,0.500,0.49
12.3,0.500,0.49
11.7,0.490,0.49
7.3,0.730,0.24
9.0,0.450,0.49
9.0,0.450,0.49
9.9,0.490,0.58
7.9,0.720,0.17
8.9,0.595,0.41
7.7,0.835,0.00
8.8,0.240,0.54
13.2,0.380,0.55
8.2,0.390,0.38
9.6,0.600,0.50
9.6,0.600,0.50
11.4,0.460,0.50
11.3,0.370,0.41
8.3,0.540,0.24
8.2,0.560,0.23
10.0,0.580,0.22
6.8,0.690,0.00
6.8,0.690,0.00
8.8,0.600,0.29
8.8,0.600,0.29
7.6,0.685,0.23
10.4,0.280,0.54
7.9,0.350,0.21
8.7,0.840,0.00
9.6,0.880,0.28
9.5,0.885,0.27
9.9,0.540,0.45
9.5,0.590,0.44
9.9,0.540,0.45
9.5,0.590,0.44
9.9,0.540,0.45
7.3,0.670,0.05
10.7,0.430,0.39
9.8,0.880,0.25
15.9,0.360,0.65
8.6,0.470,0.47
9.7,0.550,0.17
10.7,0.430,0.39
7.5,0.420,0.31
12.1,0.400,0.52
9.4,0.590,0.14
10.0,0.730,0.43
6.9,0.400,0.24
8.2,0.730,0.21
9.8,1.240,0.34
8.2,0.730,0.21
9.3,0.410,0.39
8.6,0.800,0.11
8.3,0.780,0.10
10.8,0.260,0.45
13.3,0.430,0.58
8.5,0.460,0.31
8.1,0.780,0.23
9.8,0.980,0.32
8.1,0.780,0.23
7.1,0.650,0.18
9.1,0.640,0.23
7.7,0.660,0.04
8.1,0.380,0.48
9.2,0.920,0.24
8.6,0.490,0.51
9.0,0.480,0.32
9.0,0.470,0.31
9.4,0.615,0.28
8.4,1.035,0.15
7.0,0.780,0.08
7.4,0.490,0.19
10.6,1.025,0.43
8.9,0.565,0.34
8.7,0.690,0.00
8.0,0.430,0.36
9.9,0.740,0.28
8.0,0.430,0.36
7.6,0.460,0.11
8.4,0.560,0.04
7.1,0.660,0.00
8.4,0.560,0.04
8.9,0.480,0.24
7.6,0.420,0.08
7.1,0.310,0.30
9.0,0.660,0.17
6.4,0.570,0.02
6.4,0.570,0.02
9.5,0.550,0.66
8.9,0.875,0.13
7.3,0.835,0.03
7.0,0.450,0.34
7.7,0.560,0.20
7.7,0.965,0.10
7.7,0.965,0.10
9.0,0.460,0.23
9.0,0.690,0.00
9.2,0.530,0.24
6.5,0.615,0.00
11.6,0.410,0.58
11.1,0.390,0.54
8.6,0.330,0.40
8.3,0.650,0.10
8.3,0.650,0.10
7.6,0.540,0.13
8.3,0.650,0.10
8.1,0.870,0.00
8.1,0.870,0.00
8.8,0.420,0.21
9.0,0.580,0.25
9.3,0.655,0.26
9.3,0.655,0.26
8.8,0.590,0.18
7.5,0.600,0.32
7.9,0.720,0.01
9.4,0.685,0.26
9.5,0.570,0.27
7.2,1.000,0.00
8.3,0.430,0.30
7.1,0.520,0.03
6.5,0.460,0.14
9.0,0.820,0.05
6.5,0.460,0.14
7.1,0.590,0.01
9.9,0.350,0.41
9.9,0.350,0.41
8.6,0.630,0.17
8.8,0.640,0.17
7.7,0.600,0.00
10.8,0.890,0.30
8.7,0.460,0.31
7.2,0.610,0.08
8.6,0.550,0.09
7.4,0.530,0.12
7.3,0.490,0.10
10.8,0.450,0.33
10.8,0.450,0.33
7.1,0.715,0.00
9.1,0.660,0.15
7.0,0.685,0.00
6.7,0.540,0.13
6.7,0.540,0.13
7.1,0.480,0.28
7.1,0.460,0.14
7.1,0.460,0.14
8.8,0.685,0.26
7.6,0.665,0.10
6.0,0.500,0.04
6.6,0.660,0.00
7.1,0.685,0.35
6.4,0.640,0.21
6.4,0.640,0.21
6.4,0.640,0.21
6.4,0.630,0.21
9.3,0.430,0.44
9.3,0.430,0.44
8.0,0.420,0.32
7.2,0.620,0.06
7.5,0.420,0.32
7.2,0.620,0.06
7.2,0.620,0.06
7.2,0.635,0.07
6.9,0.560,0.03
7.2,0.600,0.04
9.2,0.560,0.18
7.2,0.600,0.04
8.9,0.750,0.14
10.7,0.900,0.34
7.2,0.340,0.24
7.2,0.660,0.03
7.2,0.660,0.03
8.9,0.310,0.36
9.2,0.580,0.20
7.2,0.540,0.27
5.3,0.715,0.19
9.6,0.410,0.37
8.6,0.470,0.27
8.6,0.470,0.27
6.6,0.610,0.01
7.4,0.610,0.01
7.4,0.610,0.01
6.6,0.610,0.01
6.2,0.460,0.17
8.5,0.210,0.52
8.0,0.590,0.05
7.1,0.560,0.14
6.6,0.570,0.02
8.5,0.660,0.20
6.7,0.560,0.09
8.5,0.340,0.44
7.2,0.410,0.30
7.2,0.410,0.30
8.4,0.590,0.29
12.2,0.450,0.49
9.5,0.860,0.26
12.2,0.450,0.49
7.1,0.360,0.30
7.7,0.390,0.12
7.7,0.390,0.12
7.1,0.340,0.28
7.1,0.340,0.28
10.0,0.350,0.45
8.2,0.430,0.29
9.6,0.500,0.36
7.7,1.005,0.15
7.0,0.500,0.14
7.0,0.510,0.09
6.4,0.795,0.00
8.1,0.820,0.00
7.3,0.910,0.10
7.4,0.965,0.00
7.1,0.430,0.17
7.1,0.430,0.17
8.5,0.460,0.59
5.6,0.605,0.05
7.6,0.420,0.25
8.0,0.620,0.35
7.5,0.770,0.20
7.5,0.770,0.20
8.6,0.370,0.65
8.6,0.370,0.65
6.8,0.480,0.08
9.4,0.400,0.47
8.6,0.520,0.38
8.6,0.520,0.38
6.3,0.570,0.28
8.1,0.780,0.10
5.6,0.660,0.00
10.0,0.430,0.33
5.9,0.190,0.21
7.5,0.410,0.15
7.3,0.320,0.23
8.3,0.600,0.25
8.3,0.600,0.25
10.2,0.410,0.43
9.0,0.785,0.24
9.0,0.785,0.24
8.5,0.440,0.50
9.9,0.540,0.26
5.6,0.915,0.00
9.8,0.390,0.43
6.8,0.660,0.07
6.7,0.640,0.23
6.6,0.800,0.03
6.7,0.640,0.23
6.5,0.885,0.00
6.4,0.885,0.00
9.9,0.740,0.19
9.9,0.720,0.55
6.6,0.440,0.15
9.2,0.460,0.23
7.5,0.580,0.03
9.0,0.580,0.25
7.6,0.430,0.29
7.8,0.815,0.01
7.6,0.430,0.29
7.5,0.610,0.20
9.8,0.370,0.39
8.3,0.560,0.22
7.4,0.550,0.19
7.4,0.740,0.07
7.4,0.550,0.19
7.5,0.580,0.14
7.1,0.720,0.00
7.9,0.660,0.00
7.8,0.700,0.06
6.1,0.640,0.02
7.5,0.590,0.22
8.6,0.635,0.68
9.8,0.450,0.38
5.9,0.460,0.00
7.5,0.580,0.20
7.0,0.420,0.19
11.3,0.370,0.50
8.0,0.600,0.08
7.0,0.600,0.30
7.0,0.600,0.30
7.6,0.740,0.00
6.6,0.630,0.00
6.6,0.630,0.00
8.0,0.280,0.44
7.6,0.790,0.21
7.5,0.610,0.26
9.7,0.690,0.32
9.7,0.690,0.32
7.0,0.620,0.10
7.5,0.610,0.26
8.0,1.180,0.21
9.7,0.660,0.34
9.1,0.340,0.42
6.5,0.520,0.11
7.8,0.870,0.26
9.1,0.775,0.22
7.2,0.835,0.00
6.0,0.500,0.00
6.0,0.500,0.00
6.0,0.500,0.00
11.5,0.420,0.48
6.1,0.590,0.01
7.2,0.655,0.03
7.2,0.655,0.03
6.9,0.570,0.00
9.0,0.600,0.29
7.6,0.645,0.03
7.6,0.645,0.03
7.2,0.580,0.03
6.1,0.320,0.25
6.1,0.340,0.25
7.4,0.640,0.17
9.2,0.540,0.31
8.3,0.850,0.14
7.8,0.500,0.09
7.3,0.740,0.08
8.7,0.780,0.51
8.7,0.780,0.51
7.7,0.750,0.27
7.2,0.560,0.26
8.2,0.885,0.20
6.8,0.830,0.09
8.0,0.600,0.22
8.0,0.600,0.22
7.1,0.755,0.15
8.0,0.810,0.25
7.4,0.640,0.07
7.4,0.640,0.07
6.6,0.640,0.31
6.7,0.480,0.02
8.0,0.640,0.22
7.1,0.620,0.06
8.0,0.520,0.25
6.4,0.570,0.14
8.7,0.675,0.10
7.3,0.590,0.26
7.9,0.690,0.21
7.9,0.690,0.21
9.9,0.570,0.25
10.0,0.320,0.59
6.2,0.580,0.00
10.0,0.320,0.59
7.8,0.530,0.01
7.7,0.640,0.21
7.8,0.530,0.01
7.5,0.400,0.18
7.6,0.410,0.33
7.8,0.640,0.00
7.9,0.180,0.40
7.4,0.410,0.24
10.0,0.380,0.38
6.8,0.915,0.29
7.0,0.590,0.00
6.9,0.630,0.02
6.9,0.580,0.20
6.9,0.630,0.02
6.8,0.670,0.00
6.9,0.580,0.01
7.6,0.490,0.33
7.6,0.490,0.33
8.4,0.290,0.40
6.8,0.590,0.10
6.8,0.590,0.10
10.0,0.690,0.11
6.7,0.700,0.08
6.1,0.600,0.08
9.9,0.500,0.50
9.9,0.500,0.50
8.2,0.280,0.60
8.2,0.280,0.60
8.1,0.330,0.44
7.0,0.655,0.16
6.8,0.680,0.21
6.0,0.640,0.05
5.6,0.540,0.04
5.6,0.540,0.04
6.2,0.650,0.06
7.7,0.540,0.26
7.7,0.540,0.26
7.5,0.725,0.04
7.8,0.820,0.29
7.3,0.585,0.18
7.9,0.180,0.40
7.1,0.690,0.04
6.1,0.320,0.25
7.4,0.470,0.46
6.6,0.700,0.08
6.1,0.320,0.25
6.8,0.480,0.25
6.7,0.480,0.08
6.1,0.705,0.10
8.0,0.390,0.30
6.2,0.640,0.09
7.2,0.390,0.32
7.0,0.570,0.02
6.3,0.600,0.10
11.2,0.400,0.50
7.1,0.680,0.00
7.1,0.670,0.00
7.3,0.735,0.00
6.6,0.880,0.04
6.9,0.630,0.33
7.8,0.600,0.26
7.8,0.600,0.26
7.8,0.600,0.26
7.2,0.695,0.13
7.2,0.695,0.13
7.2,0.695,0.13
7.2,0.695,0.13
7.0,0.560,0.13
7.3,0.690,0.32
6.2,0.560,0.09
6.2,0.560,0.09
6.1,0.715,0.10
6.2,0.460,0.29
6.6,0.725,0.20
6.2,0.600,0.08
5.9,0.645,0.12
11.2,0.280,0.56
7.9,0.320,0.51
8.9,0.220,0.48
6.9,0.400,0.14
7.8,0.645,0.00
6.9,0.685,0.00
6.9,0.605,0.12
7.8,0.645,0.00
7.8,0.600,0.14
7.5,0.490,0.20
6.6,0.520,0.04
6.6,0.500,0.04
7.6,0.510,0.15
7.3,0.390,0.31
8.0,0.705,0.05
7.7,0.630,0.08
6.8,0.785,0.00
6.3,0.300,0.48
8.6,0.490,0.28
8.6,0.490,0.28
4.7,0.600,0.17
8.1,0.545,0.18
8.3,0.610,0.30
7.8,0.500,0.30
8.1,0.545,0.18
8.0,0.330,0.53
10.1,0.310,0.44
9.4,0.400,0.31
8.3,0.540,0.28
7.8,0.560,0.12
8.8,0.550,0.04
7.0,0.690,0.08
8.8,0.550,0.04
6.6,0.500,0.01
7.9,1.040,0.05
5.2,0.340,0.00
5.2,0.340,0.00
6.9,0.490,0.10
8.2,0.400,0.44
7.3,0.330,0.47
6.8,0.600,0.18
7.8,0.530,0.04
6.8,0.630,0.07
8.0,0.420,0.17
8.0,0.420,0.17
7.4,0.620,0.05
7.5,0.520,0.42
6.7,0.620,0.21
6.4,0.370,0.25
11.5,0.300,0.60
7.0,0.430,0.36
9.7,0.530,0.60
8.0,0.725,0.24
11.6,0.440,0.64
7.8,0.735,0.08
7.8,0.340,0.37
8.6,0.645,0.25
