fixed_acidity,volatile_acidity,citric_acid
7.7,0.430,0.25
8.9,0.590,0.50
7.7,0.430,0.25
8.0,0.380,0.06
8.5,0.370,0.20
8.2,1.000,0.09
7.2,0.630,0.00
7.2,0.630,0.00
7.2,0.645,0.00
7.2,0.630,0.00
8.2,1.000,0.09
12.0,0.380,0.56
7.7,0.580,0.10
7.3,0.660,0.00
7.7,0.530,0.06
7.3,0.660,0.00
10.8,0.320,0.44
7.1,0.600,0.00
7.1,0.600,0.00
6.9,0.540,0.04
11.5,0.180,0.51
7.9,0.545,0.06
11.5,0.180,0.51
7.9,0.545,0.06
6.9,0.540,0.04
11.5,0.180,0.51
11.4,0.260,0.44
12.0,0.450,0.55
7.5,0.400,0.12
10.4,0.550,0.23
6.9,0.360,0.25
13.3,0.340,0.52
7.5,0.530,0.06
11.1,0.180,0.48
10.3,0.530,0.48
10.3,0.410,0.42
10.3,0.430,0.44
7.4,0.290,0.38
10.3,0.530,0.48
7.9,0.530,0.24
9.0,0.460,0.31
7.1,0.350,0.29
9.6,0.770,0.12
9.6,0.770,0.12
10.3,0.590,0.42
10.0,0.490,0.20
10.0,0.490,0.20
13.4,0.270,0.62
10.2,0.360,0.64
10.2,0.360,0.64
8.0,0.580,0.28
8.9,0.430,0.45
12.4,0.490,0.58
12.2,0.340,0.50
10.6,0.420,0.48
10.9,0.390,0.47
10.9,0.390,0.47
11.9,0.570,0.50
13.8,0.490,0.67
9.6,0.560,0.31
9.1,0.785,0.00
10.7,0.670,0.22
9.1,0.795,0.00
6.1,0.210,0.40
6.7,0.750,0.01
12.6,0.380,0.66
8.6,0.450,0.31
10.0,0.420,0.50
7.9,0.240,0.40
9.1,0.280,0.48
14.0,0.410,0.63
11.5,0.450,0.50
11.4,0.625,0.66
8.3,0.420,0.38
8.3,0.260,0.42
13.7,0.415,0.68
8.3,0.260,0.42
8.3,0.260,0.42
7.4,0.630,0.07
7.8,0.540,0.26
8.3,0.660,0.15
7.8,0.460,0.26
13.7,0.415,0.68
11.5,0.590,0.59
11.5,0.590,0.59
7.7,0.260,0.30
12.2,0.480,0.54
11.4,0.600,0.49
8.7,0.310,0.46
9.8,0.440,0.47
10.4,0.340,0.58
9.0,0.430,0.34
10.6,0.480,0.64
11.9,0.380,0.51
6.4,0.670,0.08
9.5,0.780,0.22
12.8,0.840,0.63
11.9,0.370,0.69
10.4,0.410,0.55
8.0,0.670,0.30
11.1,0.450,0.73
10.4,0.410,0.55
11.9,0.400,0.65
9.5,0.735,0.10
8.6,0.530,0.22
11.9,0.390,0.69
11.9,0.390,0.69
8.4,0.370,0.53
6.8,0.560,0.03
9.2,0.430,0.52
11.5,0.315,0.54
10.3,0.500,0.42
8.8,0.460,0.45
11.4,0.360,0.69
9.6,0.540,0.42
12.5,0.370,0.55
10.5,0.280,0.51
10.4,0.240,0.49
9.4,0.685,0.11
10.6,0.440,0.68
10.2,0.645,0.36
9.3,0.390,0.40
9.3,0.775,0.27
8.7,0.690,0.31
6.5,0.390,0.23
7.8,0.520,0.25
8.7,0.690,0.31
7.8,0.520,0.25
11.2,0.670,0.55
10.0,0.590,0.31
10.0,0.590,0.31
10.7,0.400,0.48
12.5,0.600,0.49
10.9,0.210,0.49
9.8,0.250,0.49
7.0,0.380,0.49
8.2,0.420,0.49
9.1,0.220,0.24
10.3,0.270,0.24
10.0,0.480,0.24
9.1,0.220,0.24
8.1,0.825,0.24
9.5,0.460,0.49
11.2,0.660,0.24
14.3,0.310,0.74
7.5,0.550,0.24
10.6,0.310,0.49
12.4,0.350,0.49
9.0,0.530,0.49
6.8,0.510,0.01
9.4,0.430,0.24
9.5,0.460,0.24
10.9,0.530,0.49
10.9,0.530,0.49
13.0,0.470,0.49
7.6,0.290,0.49
13.0,0.470,0.49
8.7,0.700,0.24
8.7,0.700,0.24
9.8,0.500,0.49
6.2,0.360,0.24
11.5,0.350,0.49
6.2,0.360,0.24
10.6,0.340,0.49
12.3,0.270,0.49
10.6,0.310,0.49
7.6,0.510,0.24
6.6,0.390,0.49
12.4,0.400,0.51
11.9,0.580,0.58
8.5,0.585,0.18
12.7,0.590,0.45
13.2,0.460,0.52
13.2,0.460,0.52
8.3,0.580,0.13
8.3,0.600,0.13
8.8,0.480,0.41
10.1,0.650,0.37
6.3,0.360,0.19
7.5,0.640,0.00
9.2,0.755,0.18
11.5,0.310,0.51
7.9,0.510,0.25
8.7,0.540,0.26
8.7,0.540,0.26
7.6,0.410,0.14
8.9,0.290,0.35
6.7,0.420,0.27
9.4,0.330,0.59
7.2,0.520,0.07
7.2,0.520,0.07
7.2,0.570,0.06
10.1,0.280,0.46
8.3,0.490,0.36
11.3,0.340,0.45
11.3,0.340,0.45
10.8,0.400,0.41
10.8,0.400,0.41
8.0,0.450,0.23
5.1,0.470,0.02
7.0,0.650,0.02
7.0,0.650,0.02
11.8,0.380,0.55
10.6,1.020,0.43
7.0,0.650,0.02
7.0,0.640,0.02
7.8,0.545,0.12
9.7,0.310,0.47
7.2,0.490,0.18
8.1,0.720,0.09
6.4,0.865,0.03
8.2,0.590,0.00
8.3,0.760,0.29
7.3,0.510,0.18
8.2,0.340,0.38
7.2,0.500,0.18
7.3,0.510,0.18
7.8,0.480,0.68
7.8,0.910,0.07
6.3,0.980,0.01
8.8,0.700,0.00
9.1,0.680,0.11
9.2,0.670,0.10
7.1,0.590,0.02
7.1,0.590,0.02
7.9,0.400,0.29
7.9,0.400,0.30
6.9,0.765,0.18
6.9,0.635,0.17
7.0,0.570,0.00
10.0,0.560,0.24
10.0,0.560,0.24
7.4,0.370,0.43
7.1,0.610,0.02
10.1,0.270,0.54
9.4,0.500,0.34
9.4,0.500,0.34
7.7,0.560,0.08
8.4,0.520,0.22
7.6,0.480,0.31
12.9,0.500,0.55
12.6,0.410,0.54
9.8,0.510,0.19
10.8,0.290,0.42
5.9,0.610,0.08
5.9,0.610,0.08
10.6,0.500,0.45
9.9,0.250,0.46
7.4,0.680,0.16
9.3,0.360,0.39
9.3,0.360,0.39
9.3,0.360,0.39
6.8,0.560,0.22
5.8,1.010,0.66
6.8,0.490,0.22
6.9,0.510,0.23
6.8,0.560,0.22
7.6,0.630,0.03
7.7,0.715,0.01
7.7,0.715,0.01
8.8,0.610,0.19
7.6,0.715,0.00
8.4,0.310,0.29
8.8,0.610,0.19
9.0,0.800,0.12
6.8,0.570,0.00
10.1,0.450,0.23
7.2,0.630,0.03
7.1,0.590,0.01
7.1,0.590,0.01
6.1,0.560,0.00
7.4,0.520,0.13
7.3,0.305,0.39
9.3,0.380,0.48
9.1,0.280,0.46
10.0,0.460,0.44
7.3,0.305,0.39
8.6,0.315,0.40
6.8,0.410,0.31
8.4,0.360,0.32
8.4,0.620,0.12
8.4,0.360,0.32
8.4,0.620,0.12
6.8,0.410,0.31
9.4,0.240,0.33
7.6,0.400,0.29
8.8,0.300,0.38
8.8,0.300,0.38
7.6,0.430,0.40
9.0,0.360,0.52
9.5,0.370,0.52
8.5,0.470,0.27
8.8,0.270,0.39
8.5,0.470,0.27
8.3,0.340,0.40
9.0,0.400,0.43
10.4,0.260,0.48
10.4,0.260,0.48
9.1,0.500,0.30
7.3,0.520,0.32
9.1,0.500,0.30
7.4,0.580,0.00
9.7,0.295,0.40
6.5,0.400,0.10
7.7,0.600,0.06
8.9,0.840,0.34
6.4,0.690,0.00
8.9,0.320,0.31
7.5,0.710,0.00
8.0,0.580,0.16
10.5,0.390,0.46
8.0,0.180,0.37
8.0,0.180,0.37
11.3,0.360,0.66
11.3,0.360,0.66
8.2,0.320,0.42
8.6,0.830,0.00
7.9,0.310,0.32
7.2,0.340,0.21
7.5,0.570,0.08
8.9,0.745,0.18
8.9,0.500,0.21
6.9,0.490,0.19
8.9,0.500,0.21
6.4,0.390,0.33
6.9,0.440,0.00
7.6,0.780,0.00
9.3,0.490,0.36
9.3,0.500,0.36
8.2,0.640,0.27
8.2,0.640,0.27
11.6,0.230,0.57
8.0,0.380,0.44
10.2,0.290,0.65
8.2,0.740,0.09
7.7,0.610,0.18
7.2,0.350,0.26
8.0,0.620,0.33
9.9,0.320,0.56
10.3,0.270,0.56
7.2,0.380,0.30
8.7,0.420,0.45
7.2,0.380,0.30
7.9,0.190,0.42
7.9,0.340,0.42
7.0,0.540,0.09
6.6,0.725,0.09
6.6,0.725,0.09
8.4,0.340,0.42
7.4,0.490,0.27
6.1,0.480,0.09
7.4,0.490,0.27
8.0,0.480,0.34
8.2,0.230,0.42
10.8,0.470,0.43
8.3,0.530,0.00
7.9,0.330,0.41
8.9,0.240,0.39
5.0,0.400,0.50
7.0,0.690,0.07
7.0,0.690,0.07
7.0,0.690,0.07
7.1,0.390,0.12
6.6,0.500,0.00
6.3,0.470,0.00
10.7,0.400,0.37
5.8,0.290,0.26
6.3,0.760,0.00
10.5,0.430,0.35
9.1,0.600,0.00
8.0,0.250,0.43
10.4,0.520,0.45
10.4,0.520,0.45
8.2,0.510,0.24
7.3,0.400,0.30
8.2,0.380,0.32
6.9,0.450,0.11
7.0,0.220,0.30
8.2,0.200,0.43
7.8,0.500,0.12
7.8,0.390,0.42
10.0,0.350,0.47
6.1,0.580,0.23
9.6,0.420,0.35
6.6,0.580,0.00
6.7,0.410,0.43
8.8,0.450,0.43
6.5,0.340,0.27
7.6,0.500,0.29
9.2,0.360,0.34
7.1,0.590,0.00
9.7,0.420,0.46
7.6,0.360,0.31
7.6,0.360,0.31
6.5,0.610,0.00
8.2,0.350,0.33
8.2,0.350,0.33
10.2,0.400,0.40
7.0,0.430,0.30
7.0,0.430,0.30
9.1,0.400,0.57
7.0,0.745,0.12
6.2,0.430,0.22
7.9,0.580,0.23
7.7,0.570,0.21
7.7,0.260,0.26
7.9,0.580,0.23
7.7,0.570,0.21
6.8,0.650,0.02
6.8,0.650,0.02
9.6,0.380,0.42
10.2,0.330,0.46
8.8,0.270,0.46
7.9,0.570,0.31
8.2,0.340,0.37
8.2,0.400,0.31
9.0,0.390,0.40
10.9,0.320,0.52
10.9,0.320,0.52
8.1,0.530,0.22
10.5,0.360,0.47
12.6,0.390,0.49
7.7,0.180,0.34
7.1,0.750,0.01
7.8,0.550,0.00
7.1,0.750,0.01
9.0,0.400,0.41
5.9,0.290,0.25
6.9,0.410,0.33
7.1,0.600,0.01
7.1,0.600,0.01
7.0,0.580,0.28
6.8,0.640,0.00
6.8,0.640,0.00
8.5,0.370,0.32
7.2,0.570,0.05
7.2,0.570,0.05
10.4,0.430,0.50
6.9,0.410,0.31
5.0,0.380,0.01
7.3,0.440,0.20
7.8,0.580,0.13
8.0,0.715,0.22
7.0,0.690,0.00
8.0,0.715,0.22
7.1,0.460,0.20
7.1,0.460,0.20
7.9,0.765,0.00
8.7,0.630,0.28
7.1,0.160,0.44
8.2,0.635,0.10
5.9,0.395,0.13
8.2,0.635,0.10
7.2,0.530,0.14
5.7,0.600,0.00
5.2,0.645,0.00
6.7,0.860,0.07
9.1,0.370,0.32
6.5,0.510,0.15
7.0,0.360,0.21
7.0,0.360,0.21
7.5,0.630,0.27
5.4,0.740,0.00
9.9,0.440,0.46
7.5,0.630,0.27
9.1,0.760,0.68
5.0,0.740,0.00
6.7,0.460,0.24
6.7,0.460,0.24
6.7,0.460,0.24
6.7,0.460,0.24
7.4,0.600,0.26
7.4,0.600,0.26
8.4,0.390,0.10
6.6,0.580,0.02
7.5,0.510,0.02
7.5,0.510,0.02
7.5,0.510,0.02
7.6,0.540,0.02
7.5,0.510,0.02
8.2,0.440,0.24
7.2,0.620,0.01
7.3,0.430,0.24
11.6,0.475,0.40
11.6,0.475,0.40
7.2,0.605,0.02
6.9,0.540,0.30
8.0,0.770,0.32
7.5,0.580,0.56
5.2,0.490,0.26
7.2,0.450,0.15
7.5,0.570,0.02
7.5,0.570,0.02
6.0,0.490,0.00
8.6,0.685,0.10
7.2,0.670,0.00
7.6,0.300,0.42
8.0,0.500,0.39
8.2,0.240,0.34
6.0,0.510,0.00
6.0,0.510,0.00
6.6,0.960,0.00
6.4,0.470,0.40
8.2,0.240,0.34
7.0,0.540,0.00
8.3,0.260,0.37
8.3,0.260,0.37
7.7,0.230,0.37
7.6,0.430,0.31
5.9,0.440,0.00
10.2,0.540,0.37
10.2,0.540,0.37
7.3,0.670,0.02
7.4,0.785,0.19
7.3,0.670,0.02
7.4,0.785,0.19
11.7,0.450,0.63
6.5,0.900,0.00
6.0,0.540,0.06
6.4,0.420,0.09
6.8,0.640,0.03
6.9,0.630,0.01
7.6,0.350,0.60
6.2,0.570,0.10
7.1,0.220,0.49
7.0,0.430,0.02
6.9,0.740,0.03
6.6,0.895,0.04
6.9,0.740,0.03
6.2,0.440,0.39
7.5,0.380,0.57
6.8,0.810,0.05
7.5,0.380,0.57
7.1,0.270,0.60
6.4,0.360,0.21
6.4,0.790,0.04
6.4,0.560,0.15
6.9,0.840,0.21
6.9,0.840,0.21
6.5,0.530,0.06
6.5,0.530,0.06
6.0,0.420,0.19
6.8,0.470,0.08
7.1,0.530,0.07
7.9,0.290,0.49
7.1,0.690,0.08
6.6,0.440,0.09
7.2,0.530,0.13
7.0,0.550,0.13
6.1,0.530,0.08
5.4,0.580,0.08
6.2,0.520,0.08
6.7,0.855,0.02
11.1,0.440,0.42
6.5,0.630,0.33
6.3,0.680,0.01
6.6,0.855,0.02
6.6,0.855,0.02
6.7,0.670,0.02
6.7,0.160,0.64
6.2,0.510,0.14
6.4,0.360,0.53
6.4,0.380,0.14
6.0,0.580,0.20
5.6,0.310,0.78
7.5,0.520,0.40
8.0,0.300,0.63
6.2,0.700,0.15
6.8,0.670,0.15
7.4,0.350,0.33
7.2,0.390,0.44
7.5,0.310,0.41
5.8,0.610,0.11
7.2,0.660,0.33
6.3,0.550,0.15
5.4,0.740,0.09
6.3,0.510,0.13
6.8,0.620,0.08
5.9,0.550,0.10
6.3,0.510,0.13
6.0,0.310,0.47
7.3,0.650,0.00
7.8,0.580,0.02
8.5,0.280,0.56
8.1,0.380,0.28
7.5,0.520,0.16
8.0,0.590,0.16
5.4,0.835,0.08
9.6,0.320,0.47
12.8,0.300,0.74
12.8,0.300,0.74
11.0,0.300,0.58
5.2,0.480,0.04
15.0,0.210,0.44
15.0,0.210,0.44
10.0,0.310,0.47
11.8,0.260,0.52
8.9,0.400,0.32
7.7,0.270,0.68
8.9,0.400,0.32
8.7,0.520,0.09
8.7,0.520,0.09
9.8,0.660,0.39
9.8,0.660,0.39
11.6,0.530,0.66
7.9,0.650,0.01
11.9,0.695,0.53
12.5,0.280,0.54
6.6,0.815,0.02
10.5,0.420,0.66
11.9,0.430,0.66
12.8,0.615,0.66
12.8,0.615,0.66
9.4,0.270,0.53
11.5,0.540,0.71
9.4,0.270,0.53
9.6,0.380,0.31
12.0,0.370,0.76
12.0,0.390,0.66
9.9,0.400,0.53
9.5,0.560,0.33
6.6,0.840,0.03
10.5,0.240,0.47
6.6,0.840,0.03
10.5,0.240,0.47
15.6,0.685,0.76
10.0,0.440,0.49
5.3,0.570,0.01
10.4,0.330,0.63
10.4,0.330,0.63
11.6,0.320,0.55
9.2,0.410,0.50
8.9,0.400,0.51
10.4,0.440,0.73
10.4,0.440,0.73
10.5,0.260,0.47
10.5,0.240,0.42
10.2,0.490,0.63
10.4,0.240,0.46
13.3,0.290,0.75
10.5,0.510,0.64
10.5,0.510,0.64
12.9,0.350,0.49
12.0,0.280,0.49
11.8,0.330,0.49
11.1,0.310,0.49
10.2,0.290,0.49
9.4,0.410,0.48
7.7,0.915,0.12
7.8,0.640,0.10
8.7,0.480,0.30
12.0,0.500,0.59
9.3,0.370,0.44
5.1,0.585,0.00
8.2,0.280,0.40
8.4,0.250,0.39
8.2,0.280,0.40
4.9,0.420,0.00
7.5,0.270,0.34
6.7,0.280,0.28
6.7,0.280,0.28
10.1,0.310,0.35
11.1,0.420,0.47
7.6,0.735,0.02
8.2,0.260,0.34
11.7,0.280,0.47
9.1,0.210,0.37
10.4,0.380,0.46
8.8,0.310,0.40
10.7,0.520,0.38
8.3,0.310,0.39
8.3,0.310,0.39
7.4,0.635,0.10
7.4,0.635,0.10
6.8,0.590,0.06
6.8,0.590,0.06
9.4,0.395,0.46
8.6,0.220,0.36
8.7,0.330,0.38
7.2,0.380,0.38
9.6,0.330,0.52
9.9,0.270,0.49
10.1,0.430,0.40
9.8,0.500,0.34
8.3,0.300,0.49
10.2,0.440,0.42
10.2,0.440,0.58
8.3,0.280,0.48
8.9,0.120,0.45
8.9,0.120,0.45
8.9,0.120,0.45
8.3,0.280,0.48
8.2,0.310,0.40
10.2,0.340,0.48
6.4,0.570,0.12
9.0,0.380,0.41
10.1,0.380,0.50
8.8,0.330,0.41
7.0,0.400,0.32
9.8,0.340,0.39
5.6,0.660,0.00
5.6,0.660,0.00
7.5,0.430,0.30
9.9,0.350,0.38
9.1,0.290,0.33
6.8,0.360,0.32
6.8,0.360,0.32
9.1,0.290,0.33
9.1,0.300,0.34
8.9,0.350,0.40
8.9,0.280,0.45
8.9,0.380,0.40
7.7,0.580,0.01
7.7,0.580,0.01
7.1,0.590,0.00
7.3,0.550,0.01
10.1,0.370,0.34
7.6,0.310,0.34
8.7,0.410,0.41
9.5,0.390,0.41
8.3,0.330,0.42
8.9,0.480,0.53
9.9,0.530,0.57
8.9,0.480,0.53
6.6,0.520,0.08
11.1,0.310,0.53
11.1,0.310,0.53
9.3,0.330,0.45
9.1,0.250,0.34
7.9,0.300,0.68
7.9,0.300,0.68
8.5,0.340,0.40
11.6,0.410,0.54
11.6,0.410,0.54
9.2,0.310,0.36
8.0,0.310,0.45
9.1,0.300,0.41
5.4,0.420,0.27
8.8,0.240,0.35
7.4,0.360,0.34
7.2,0.480,0.07
8.5,0.280,0.35
10.0,0.410,0.45
8.2,0.330,0.32
8.5,0.180,0.51
5.1,0.510,0.18
10.6,0.360,0.57
8.5,0.320,0.42
8.2,0.330,0.39
7.1,0.660,0.00
7.2,0.250,0.37
7.9,0.340,0.36
7.2,0.360,0.46
7.2,0.360,0.46
7.2,0.360,0.46
7.2,0.360,0.46
6.2,0.390,0.43
5.1,0.420,0.00
9.8,0.300,0.39
9.1,0.360,0.39
7.0,0.600,0.12
7.7,0.280,0.30
8.1,0.290,0.36
7.3,0.340,0.33
6.1,0.400,0.16
7.2,0.370,0.32
7.2,0.370,0.32
7.8,0.320,0.44
6.6,0.580,0.02
7.9,0.200,0.35
7.3,0.480,0.32
7.3,0.480,0.32
5.3,0.470,0.11
5.3,0.470,0.11
6.4,0.310,0.09
6.6,0.560,0.14
7.4,0.250,0.29
8.4,0.370,0.43
7.0,0.560,0.17
6.7,0.320,0.44
7.9,0.350,0.46
10.3,0.320,0.45
5.6,0.850,0.05
12.6,0.310,0.72
11.3,0.620,0.67
9.4,0.300,0.56
10.7,0.350,0.53
10.7,0.350,0.53
5.0,0.420,0.24
7.8,0.570,0.09
9.1,0.400,0.50
10.0,0.260,0.54
7.9,0.540,0.34
8.6,0.420,0.39
5.5,0.490,0.03
7.2,0.330,0.33
7.2,0.380,0.31
7.4,0.360,0.30
